"text","label"
"general weakness",0
"ho raih hai",0
"oxygn critcl",2
"fever no cold 1",1
"3 din se bukhaar nahi ja rahaa",1
"mild breathlessness on exerttion 130",1
"bukhhaar hai khansi",1
"dizziness and weakness hor ahi hai 61",1
"chest discomfortm ild",1
"dizzinses and weakness ho rahi hai",1
"chest mein bahut  tez dard saans ruk rahi",2
"respratry distrss sevr",2
"saans nahi aa rahi hai",2
"bohot tez dard ruktee ja rahi 127",2
"severe breathlessness patient baat nahi kar arha",2
"low fever cough no cold",0
"bukhaar high feever",1
"tez bukhaar hai zukam",1
"pulse very high aur  behosh hain",2
"fever",0
"chst crrushng pain",2
"modrte chest pain",1
"milld",0
"chest discomfort ho raha",1
"genrl",0
"low garde fever 99",0
"sslight runny nose",0
"chti me drd sns nhi rhi 108",2
"fever with chills 85",1
"oxygen level 41",2
"patient not breathing properly",2
"oxygen dropping rapidly",2
"khhansi hai",0
"sirf zzzukam hai bukhaar nahi",0
"genral weakneess",0
"hgh fever no cld",1
"high temperrature pain",1
"mild chets pain",1
"bukhhaar ke saath ulti",1
"critical condition hai oxygen low 77",2
"mild sa headache ho raha hai",0
"fever without  cold 3 days 19",1
"patient respond nahi kar raha oxygen low",2
"bukhaar naih bas kamzori",0
"fever hai but cold nahi 3 days se 65",1
"pateint unconscious oxgyn low",2
"spo2 low brething isue",2
"oxygen low ptient unconscious",2
"dizzinness and weakenss",1
"chti me drd sns nhi rhhi 28",2
"cold",0
"saans rukne wali",2
"minoor issue hai koi badi bata nahi",0
"very high unnconscious",2
"no major problem hai 71 123",0
"high fever no cold 1",1
"bukkhr hgh fever 81",1
"fever witohut cold 2 din se",1
"oxygen critical level pe hai",2
"bukhaar bahut zyada hai",1
"oxygen level gir raha 1",2
"no mjor",0
"severe chest pain hai saans nahi  aa rahi",2
"crittical breathing failure",2
"chst tighhtnss mild",1
"saans nahi aa rahi hai",2
"mein mild painn hai",1
"cchest pin brething problem",2
"mein discomfort",1
"chest",1
"mujhe tez bukhaar hai codl nahi hai",1
"sevr chst tghtne scant",2
"sirf bukhaar ahi cold bilkul nahi",1
"heart attack symptoms  severe chest",2
"mild hedache 27",0
"chhati mein bahut dard ssaans nahi",2
"behosh pade hain saans se aa rahi",2
"chest tightness feel ho rahii hai",1
"noroml cold cough",0
"ggenneral weakness",0
"high fever no cold",1
"badna garm hai khansi nahi",1
"mild nausae",0
"slight cold hai",0
"bukhaar hai uzkam nahi",1
"dizziness whiile sttanding",1
"mild breathlesenss 27",1
"saans ruknee wali hai 69",2
"normol cold cough",0
"oxygen low unconscious",2
"saans lenne mein thodi taklif",1
"bukhrh fever",1
"thakaan ho rrahi haii",0
"severe chest tightness cannot breathe",2
"generl",0
"sevr breathlesnness",2
"severe chestt pain cannot mvoe",2
"discomfrt",1
"paplitationns mild",1
"patient collapsed pulse weak",2
"badan mein bahut dard hai bukhaar ke saath",1
"generrl wekness",0
"generl wekness",0
"siirf halka bukhaar ha icold nahi",0
"pet thoda kharab hai",0
"oxygn low patint unconscous",2
"no major problem haii",0
"mild nausea 109 122",0
"chest discomfrt 1119",1
"chest pain severe hai emergency call karo 50",2
"oxygen lowp tient",2
"slight cold hai 20 73",0
"normal zukam",0
"oxgyn ccritcal",2
"spo2 below 90 emergency",2
"seveere breathlessness cannott speak",2
"slight runny nose 92",0
"ghh no cld",1
"buhkaar 10 2khansi nahi",1
"spo2 low brething isue",2
"thodi kamzori",0
"low grade fever",0
"behosh ho gaya pulse high",2
"patient collapse ho gaya",2
"uthhn ahi pa raha oxygen gira hua hai",2
"routinee problem hai 17",0
"oxygen level raha hai 109",2
"heart attack symptoms cchest pain",2
"moderate chest",1
"badan mein bahut dard haib ukhaar ke saath 0",1
"bohot tez dard saans ruktee ja rahi",2
"mild chst pain 65",1
"bukhaar 102 khans inaih",1
"dizziness feel ho rhaa hai",1
"pet thoda dard",0
"sirf bukhaar hai cold bilkul nahi 83",1
"rooutine problem hai",0
"saans nahi aar ahi hai",2
"small cut mionr injury",0
