text,label
"light breathing problem 112",1
"slight fever stable 2",0
"mild chest pin 4",1
"dizziness nd wekness",1
"chaati me dard saans nahi aa rahi",2
"bukhr high fever 56",1
"chest pin brething problem",2
"oxygen low patient unconscious",2
"fever 102 body pin",1
"general weakness 68",0
"chest pin brething problem",2
"spo2 low brething issue",2
"bukhaar high fever 130",1
"severe chest tightness cannot breathe",2
"norml cold cough 58",0
"spo2 low brething issue 131",2
"bukhaar high fever 44",1
"light breathing problem 20",1
"normal cold cough 98",0
"spo2 low breathing issue",2
"spo2 low brething issue",2
"behosh ho gaya pulse high",2
"mild headache 62",0
"general weakness 36",0
"behosh ho gaya pulse high",2
"oxygen low ptient unconscious",2
"oxygen low ptient unconscious",2
"oxygen low ptient unconscious 130",2
"chest pin brething problem",2
"behosh ho gaya pulse high 147",2
"oxygen low ptient unconscious 36",2
"light breathing problem 147",1
"oxygen low patient unconscious 100",2
"mild hedche 63",0
"severe chest tightness cannot breathe 135",2
"severe chest tightness cannot breathe",2
"slight fever stable 34",0
"no mjor issue",0
"bukhr high fever 58",1
"chti me drd sns nhi  rhi",2
"generl wekness 8",0
"chti me drd sns nhi  rhi 56",2
"bukhaar high fever 63",1
"slight fever stable 17",0
"bukhr high fever 6",1
"severe chest tightness cannot breathe 92",2
"behosh ho gaya pulse high",2
"bukhr high fever 20",1
"light breathing problem",1
"light breathing problem",1
"generl wekness 23",0
"chaati me dard saans nahi aa rahi",2
"no major issue 29",0
"chaati me dard saans nahi aa rahi 96",2
"chest pain breathing problem",2
"bukhaar high fever 135",1
"severe chest tightness cnnot brethe 73",2
"chaati me dard saans nahi aa rahi",2
"oxygen low patient unconscious 3",2
"spo2 low breathing issue 31",2
"dizziness nd wekness",1
"fever 102 body pain 141",1
"behosh ho gy pulse high",2
"chaati me dard saans nahi aa rahi",2
"slight fever stable",0
"slight fever stable",0
"oxygen low ptient unconscious 58",2
"norml cold cough",0
"slight fever stble 27",0
"mild headache 104",0
"dizziness and weakness",1
"light breathing problem 148",1
"generl wekness",0
"norml cold cough 76",0
"mild chest pain",1
"dizziness nd wekness",1
"spo2 low breathing issue 30",2
"severe chest tightness cnnot brethe 145",2
"bukhr high fever 22",1
